,rent_time,rent_s_no,time,s_no
1960,2023-04-01 06:40:24,501202006,2023-04-01 07:00:34,501204007
1964,2023-04-01 06:40:46,501202006,2023-04-01 07:00:36,501204007
1970,2023-04-01 06:41:01,501202014,2023-04-01 06:55:00,501205023
1986,2023-04-01 06:42:21,501202065,2023-04-01 06:51:32,501205027
1994,2023-04-01 06:42:52,501204008,2023-04-01 07:57:58,501204008
2002,2023-04-01 06:43:25,501204003,2023-04-01 06:51:55,501205014
2038,2023-04-01 06:45:58,501202023,2023-04-01 06:50:29,501205012
2051,2023-04-01 06:47:06,501208080,2023-04-01 07:15:49,501205021
2056,2023-04-01 06:47:36,501204008,2023-04-01 07:57:59,501204008
2087,2023-04-01 06:51:00,501204008,2023-04-01 07:57:51,501204008
2115,2023-04-01 06:52:59,501209018,2023-04-01 07:14:16,501204009
2123,2023-04-01 06:53:48,501205029,2023-04-01 06:56:49,501205026
2135,2023-04-01 06:54:30,501205031,2023-04-01 07:05:35,501205038
2138,2023-04-01 06:54:40,501204003,2023-04-01 07:31:27,501204017
2151,2023-04-01 06:55:24,501201009,2023-04-01 07:11:45,501205003
2156,2023-04-01 06:55:47,501203117,2023-04-01 07:13:48,501205023
2174,2023-04-01 06:57:14,501204013,2023-04-01 07:04:11,501204002
2184,2023-04-01 06:58:06,501204013,2023-04-01 07:00:54,501204011
2286,2023-04-01 07:04:30,501203073,2023-04-01 07:34:20,501205011
2298,2023-04-01 07:05:18,501204022,2023-04-01 07:06:32,501204021
2329,2023-04-01 07:07:21,501204016,2023-04-01 07:13:09,501204016
2332,2023-04-01 07:07:31,501208011,2023-04-01 07:36:22,501205009
2385,2023-04-01 07:10:34,501205014,2023-04-01 07:10:42,501205014
2403,2023-04-01 07:11:32,501209093,2023-04-01 07:34:13,501205021
2439,2023-04-01 07:13:53,501205014,2023-04-01 07:19:25,501205025
2460,2023-04-01 07:15:07,501205011,2023-04-01 07:21:01,501205025
2473,2023-04-01 07:15:45,501204013,2023-04-01 07:27:30,501204017
2482,2023-04-01 07:16:12,501203064,2023-04-01 07:38:06,501205015
2483,2023-04-01 07:16:17,501203064,2023-04-01 07:38:04,501205015
2496,2023-04-01 07:16:36,501203064,2023-04-01 07:38:11,501205015
2505,2023-04-01 07:16:52,501205023,2023-04-01 07:23:34,501205011
2512,2023-04-01 07:17:07,501205031,2023-04-01 07:20:57,501205028
2526,2023-04-01 07:17:38,501201017,2023-04-01 07:25:37,501205006
2576,2023-04-01 07:20:20,501202080,2023-04-01 07:24:12,501205025
2591,2023-04-01 07:21:51,501203003,2023-04-01 07:31:59,501205021
2594,2023-04-01 07:22:01,501205006,2023-04-01 07:31:02,501205037
2595,2023-04-01 07:22:03,501203065,2023-04-01 07:35:33,501205021
2607,2023-04-01 07:22:35,501201019,2023-04-01 07:33:11,501205022
2618,2023-04-01 07:23:01,501209074,2023-04-01 08:22:13,501204021
2626,2023-04-01 07:23:18,501203011,2023-04-01 07:30:44,501205028
2658,2023-04-01 07:25:09,501203117,2023-04-01 07:50:46,501205023
2713,2023-04-01 07:28:03,501203110,2023-04-01 07:40:06,501205008
2758,2023-04-01 07:30:31,501208092,2023-04-01 07:57:14,501204001
2769,2023-04-01 07:31:28,501202083,2023-04-01 07:37:11,501205025
2798,2023-04-01 07:32:29,501202050,2023-04-01 07:40:47,501205025
2815,2023-04-01 07:33:45,501205010,2023-04-01 07:37:02,501205011
2827,2023-04-01 07:34:09,501204017,2023-04-01 07:36:31,501204020
2831,2023-04-01 07:34:17,501209016,2023-04-01 07:57:49,501205028
2843,2023-04-01 07:34:40,501205010,2023-04-01 07:38:12,501205025
2844,2023-04-01 07:34:42,501209016,2023-04-01 07:57:45,501205028
2864,2023-04-01 07:35:23,501202034,2023-04-01 07:47:12,501205005
2867,2023-04-01 07:35:29,501204013,2023-04-01 07:43:08,501205039
2921,2023-04-01 07:37:55,501204023,2023-04-01 07:42:38,501204003
2923,2023-04-01 07:38:01,501208011,2023-04-01 07:56:51,501204018
2930,2023-04-01 07:38:10,501202085,2023-04-01 07:43:21,501205009
2933,2023-04-01 07:38:15,501208011,2023-04-01 07:57:16,501204018
2935,2023-04-01 07:38:16,501205028,2023-04-01 07:41:28,501205013
2946,2023-04-01 07:38:29,501202065,2023-04-01 07:51:23,501204021
2982,2023-04-01 07:39:57,501205009,2023-04-01 07:44:45,501205014
3008,2023-04-01 07:41:36,501205026,2023-04-01 07:52:23,501205026
3070,2023-04-01 07:43:58,501204017,2023-04-01 07:48:26,501204008
3088,2023-04-01 07:44:48,501209076,2023-04-01 08:22:35,501204012
3137,2023-04-01 07:48:04,501204015,2023-04-01 08:06:49,501205010
3162,2023-04-01 07:49:23,501202043,2023-04-01 07:54:57,501205010
3167,2023-04-01 07:49:42,501204013,2023-04-01 08:14:52,501204013
3197,2023-04-01 07:51:19,501204021,2023-04-01 08:17:51,501204008
3198,2023-04-01 07:51:24,501204004,2023-04-01 08:07:37,501204023
3202,2023-04-01 07:51:45,501204008,2023-04-01 08:56:59,501204008
3205,2023-04-01 07:51:48,501204004,2023-04-01 08:07:32,501204023
3208,2023-04-01 07:51:57,501204008,2023-04-01 08:57:11,501204008
3229,2023-04-01 07:52:43,501203011,2023-04-01 08:08:22,501205028
3255,2023-04-01 07:53:44,501201017,2023-04-01 08:10:42,501204003
3266,2023-04-01 07:54:06,501204008,2023-04-01 08:57:04,501204008
3285,2023-04-01 07:55:26,501208076,2023-04-01 08:11:12,501205009
3293,2023-04-01 07:55:46,501205026,2023-04-01 08:20:31,501205037
3298,2023-04-01 07:55:53,501205014,2023-04-01 08:06:20,501204021
3306,2023-04-01 07:56:05,501205014,2023-04-01 08:06:16,501204021
3380,2023-04-01 07:59:25,501205013,2023-04-01 08:03:29,501205028
3427,2023-04-01 08:01:27,501203102,2023-04-01 08:06:24,501205006
3437,2023-04-01 08:02:03,501207035,2023-04-01 08:35:28,501205028
3454,2023-04-01 08:02:50,501204014,2023-04-01 08:10:32,501205012
3486,2023-04-01 08:04:36,501207035,2023-04-01 08:35:26,501205028
3521,2023-04-01 08:06:03,501204023,2023-04-01 08:09:59,501204009
3573,2023-04-01 08:08:25,501205004,2023-04-01 08:12:52,501205028
3579,2023-04-01 08:08:34,501204017,2023-04-01 08:19:02,501204003
3599,2023-04-01 08:09:13,501204022,2023-04-01 08:36:33,501204022
3619,2023-04-01 08:09:59,501205008,2023-04-01 08:45:31,501204001
3629,2023-04-01 08:10:19,501205014,2023-04-01 08:16:50,501205025
3662,2023-04-01 08:11:25,501205023,2023-04-01 08:21:42,501205021
3664,2023-04-01 08:11:38,501203085,2023-04-01 08:15:28,501205028
3673,2023-04-01 08:11:57,501205022,2023-04-01 08:21:46,501204012
3694,2023-04-01 08:13:06,501209083,2023-04-01 08:39:58,501204015
3699,2023-04-01 08:13:18,501201029,2023-04-01 08:17:35,501205006
3745,2023-04-01 08:15:19,501201013,2023-04-01 08:38:18,501204017
3771,2023-04-01 08:16:22,501205029,2023-04-01 08:21:01,501205028
3783,2023-04-01 08:16:48,501201006,2023-04-01 08:26:17,501205039
3811,2023-04-01 08:18:08,501209020,2023-04-01 08:32:42,501204011
3824,2023-04-01 08:18:46,501204012,2023-04-01 08:22:20,501204020
3832,2023-04-01 08:19:07,501205003,2023-04-01 08:23:11,501205033
3844,2023-04-01 08:19:42,501204012,2023-04-01 08:23:21,501204003
3854,2023-04-01 08:20:04,501204012,2023-04-01 08:23:14,501204003
3859,2023-04-01 08:20:15,501205025,2023-04-01 08:24:06,501205034
3861,2023-04-01 08:20:21,501204012,2023-04-01 08:23:38,501204003
3864,2023-04-01 08:20:30,501201006,2023-04-01 08:26:18,501205039
3877,2023-04-01 08:20:53,501204012,2023-04-01 08:23:38,501204003
3937,2023-04-01 08:22:46,501201005,2023-04-01 08:40:07,501204017
3956,2023-04-01 08:23:30,501201026,2023-04-01 08:31:38,501205030
3972,2023-04-01 08:24:07,501204020,2023-04-01 08:29:35,501204003
4004,2023-04-01 08:25:28,501205034,2023-04-01 08:29:11,501205027
4010,2023-04-01 08:25:34,501205034,2023-04-01 08:29:08,501205027
4066,2023-04-01 08:27:44,501201017,2023-04-01 08:33:25,501205028
4080,2023-04-01 08:28:17,501203124,2023-04-01 08:56:38,501204012
4104,2023-04-01 08:29:27,501204009,2023-04-01 08:31:07,501204002
4116,2023-04-01 08:29:53,501209087,2023-04-01 08:50:15,501205011
4130,2023-04-01 08:30:43,501204022,2023-04-01 08:32:39,501204003
4132,2023-04-01 08:30:49,501204022,2023-04-01 08:32:41,501204003
4133,2023-04-01 08:30:49,501204007,2023-04-01 08:44:12,501204020
4143,2023-04-01 08:31:04,501203053,2023-04-01 08:42:30,501205018
4152,2023-04-01 08:31:23,501204008,2023-04-01 08:38:54,501204008
4177,2023-04-01 08:32:33,501201013,2023-04-01 08:48:39,501205029
4180,2023-04-01 08:32:45,501205025,2023-04-01 08:45:16,501205012
4207,2023-04-01 08:33:48,501204013,2023-04-01 08:42:39,501204017
4218,2023-04-01 08:34:04,501204012,2023-04-01 08:43:54,501204016
4224,2023-04-01 08:34:10,501204013,2023-04-01 08:43:26,501204017
4227,2023-04-01 08:34:23,501205031,2023-04-01 08:40:38,501205028
4228,2023-04-01 08:34:24,501205031,2023-04-01 08:41:17,501205018
4250,2023-04-01 08:35:06,501204021,2023-04-01 08:52:35,501204021
4265,2023-04-01 08:35:37,501205004,2023-04-01 08:47:31,501205023
4267,2023-04-01 08:35:40,501204003,2023-04-01 08:38:25,501204008
4278,2023-04-01 08:35:57,501208096,2023-04-01 08:54:25,501205014
4336,2023-04-01 08:37:56,501204012,2023-04-01 08:44:55,501204016
4378,2023-04-01 08:39:37,501205039,2023-04-01 08:56:12,501204017
4392,2023-04-01 08:39:59,501205039,2023-04-01 08:56:12,501204017
4435,2023-04-01 08:41:21,501205014,2023-04-01 08:49:02,501205009
4438,2023-04-01 08:41:24,501204018,2023-04-01 08:41:31,501204018
4460,2023-04-01 08:42:11,501204018,2023-04-01 08:45:36,501204003
4485,2023-04-01 08:42:57,501202043,2023-04-01 08:51:31,501205033
4525,2023-04-01 08:43:58,501205010,2023-04-01 08:45:27,501205037
4552,2023-04-01 08:44:57,501203001,2023-04-01 08:54:00,501205029
4685,2023-04-01 08:48:32,501205025,2023-04-01 08:54:37,501205020
4709,2023-04-01 08:49:30,501205037,2023-04-01 08:57:12,501204021
4726,2023-04-01 08:49:57,501204014,2023-04-01 08:57:05,501205021
4741,2023-04-01 08:50:21,501204014,2023-04-01 08:57:06,501205021
4761,2023-04-01 08:50:36,501205025,2023-04-01 08:59:05,501205027
4792,2023-04-01 08:51:40,501204003,2023-04-01 08:54:27,501204020
4817,2023-04-01 08:52:26,501204003,2023-04-01 08:55:41,501204018
4822,2023-04-01 08:52:34,501203141,2023-04-01 08:58:47,501205005
4932,2023-04-01 08:55:55,501204020,2023-04-01 08:59:58,501204015
45588,2023-04-02 00:16:23,501203054,2023-04-02 08:41:42,501205005
46864,2023-04-02 05:54:24,501205007,2023-04-02 06:13:03,501205007
46870,2023-04-02 05:55:48,501202083,2023-04-02 06:12:14,501204008
46883,2023-04-02 05:59:26,501201002,2023-04-02 06:07:06,501205023
46884,2023-04-02 05:59:33,501201002,2023-04-02 06:07:09,501205023
46937,2023-04-02 06:09:06,501208082,2023-04-02 06:17:35,501205001
46944,2023-04-02 06:10:07,501203089,2023-04-02 06:20:18,501205026
46996,2023-04-02 06:19:14,501204009,2023-04-02 06:58:40,501204009
47000,2023-04-02 06:19:53,501204009,2023-04-02 06:58:37,501204009
47001,2023-04-02 06:19:57,501204022,2023-04-02 06:21:04,501204017
47004,2023-04-02 06:20:14,501202053,2023-04-02 07:16:45,501204009
47038,2023-04-02 06:23:38,501204003,2023-04-02 06:26:48,501204021
47058,2023-04-02 06:26:12,501205026,2023-04-02 06:33:02,501205009
47080,2023-04-02 06:29:20,501203110,2023-04-02 06:38:59,501205033
47082,2023-04-02 06:29:24,501205011,2023-04-02 06:30:21,501205020
47104,2023-04-02 06:31:00,501204011,2023-04-02 06:47:10,501204011
47107,2023-04-02 06:31:07,501205020,2023-04-02 06:35:18,501205025
47153,2023-04-02 06:36:19,501205022,2023-04-02 06:41:11,501205028
47170,2023-04-02 06:37:47,501205038,2023-04-02 07:15:14,501205038
47203,2023-04-02 06:40:56,501205008,2023-04-02 06:41:28,501205008
47218,2023-04-02 06:42:31,501208011,2023-04-02 06:48:12,501205034
47275,2023-04-02 06:48:13,501205006,2023-04-02 06:57:20,501205006
47290,2023-04-02 06:49:38,501209045,2023-04-02 06:55:20,501204024
47309,2023-04-02 06:52:18,501205034,2023-04-02 07:53:54,501205034
47310,2023-04-02 06:52:19,501202065,2023-04-02 06:58:12,501205025
47315,2023-04-02 06:53:20,501203110,2023-04-02 07:02:49,501205008
47334,2023-04-02 06:55:35,501205031,2023-04-02 07:16:34,501205031
47372,2023-04-02 06:59:13,501203029,2023-04-02 07:24:23,501205006
47387,2023-04-02 07:01:11,501203097,2023-04-02 07:45:03,501205007
47388,2023-04-02 07:01:19,501203097,2023-04-02 07:45:07,501205007
47392,2023-04-02 07:01:23,501205001,2023-04-02 07:19:30,501205001
47411,2023-04-02 07:02:52,501205014,2023-04-02 07:12:10,501205004
47417,2023-04-02 07:03:20,501205033,2023-04-02 07:38:53,501205033
47424,2023-04-02 07:03:32,501205004,2023-04-02 07:13:30,501205023
47431,2023-04-02 07:03:52,501205014,2023-04-02 07:12:16,501205004
47480,2023-04-02 07:07:05,501202016,2023-04-02 07:26:37,501204017
47484,2023-04-02 07:07:13,501203117,2023-04-02 07:43:22,501205023
47486,2023-04-02 07:07:21,501205009,2023-04-02 07:12:45,501205014
47488,2023-04-02 07:07:28,501205010,2023-04-02 07:11:56,501205025
47510,2023-04-02 07:09:11,501203016,2023-04-02 07:39:19,501205021
47550,2023-04-02 07:12:17,501209038,2023-04-02 07:45:47,501205012
47552,2023-04-02 07:12:25,501205022,2023-04-02 07:45:44,501205022
47558,2023-04-02 07:12:38,501205006,2023-04-02 07:20:51,501205010
47592,2023-04-02 07:15:36,501204009,2023-04-02 07:44:51,501204009
47604,2023-04-02 07:16:30,501203117,2023-04-02 07:32:59,501205023
47605,2023-04-02 07:16:33,501202080,2023-04-02 07:20:55,501205025
47628,2023-04-02 07:18:38,501204013,2023-04-02 07:40:34,501204013
47652,2023-04-02 07:20:22,501204024,2023-04-02 08:10:38,501204021
47659,2023-04-02 07:20:58,501205025,2023-04-02 07:26:29,501205020
47667,2023-04-02 07:21:33,501205025,2023-04-02 07:26:34,501205020
47675,2023-04-02 07:21:48,501205006,2023-04-02 07:41:28,501205006
47728,2023-04-02 07:25:51,501205010,2023-04-02 07:29:14,501205011
47739,2023-04-02 07:26:34,501209008,2023-04-02 07:44:20,501205026
47744,2023-04-02 07:26:59,501204020,2023-04-02 08:24:59,501204020
47762,2023-04-02 07:28:16,501204011,2023-04-02 07:38:37,501204024
47785,2023-04-02 07:29:26,501208053,2023-04-02 07:47:14,501205005
47795,2023-04-02 07:30:10,501204009,2023-04-02 07:56:52,501204009
47796,2023-04-02 07:30:13,501202020,2023-04-02 07:47:38,501205023
47831,2023-04-02 07:33:16,501204022,2023-04-02 07:35:33,501204003
47836,2023-04-02 07:33:41,501205005,2023-04-02 07:39:09,501205025
47842,2023-04-02 07:33:55,501204003,2023-04-02 07:40:15,501204008
47870,2023-04-02 07:35:56,501205025,2023-04-02 07:42:01,501205020
47874,2023-04-02 07:36:00,501203142,2023-04-02 07:49:38,501205009
47878,2023-04-02 07:36:05,501202043,2023-04-02 07:45:19,501205010
47961,2023-04-02 07:40:55,501203044,2023-04-02 08:53:46,501204024
47967,2023-04-02 07:41:15,501204003,2023-04-02 08:29:38,501204003
48017,2023-04-02 07:44:07,501205025,2023-04-02 07:48:01,501205001
48036,2023-04-02 07:44:45,501205020,2023-04-02 08:00:41,501204024
48054,2023-04-02 07:45:41,501205028,2023-04-02 07:48:09,501205013
48073,2023-04-02 07:46:27,501202050,2023-04-02 08:10:29,501204017
48074,2023-04-02 07:46:31,501203006,2023-04-02 07:55:24,501205006
48089,2023-04-02 07:47:32,501204002,2023-04-02 08:44:04,501204003
48095,2023-04-02 07:48:12,501205031,2023-04-02 07:52:48,501205028
48105,2023-04-02 07:48:44,501204023,2023-04-02 07:54:30,501204002
48110,2023-04-02 07:49:23,501204011,2023-04-02 07:57:57,501205022
48127,2023-04-02 07:50:23,501205011,2023-04-02 08:03:56,501205035
48151,2023-04-02 07:51:19,501204017,2023-04-02 08:07:37,501205034
48153,2023-04-02 07:51:31,501205010,2023-04-02 07:56:06,501205025
48187,2023-04-02 07:53:06,501205034,2023-04-02 07:58:54,501205025
48209,2023-04-02 07:54:41,501201022,2023-04-02 08:09:04,501205021
48218,2023-04-02 07:55:10,501209076,2023-04-02 08:10:47,501204012
48220,2023-04-02 07:55:12,501205028,2023-04-02 07:58:30,501205008
48303,2023-04-02 08:00:16,501205010,2023-04-02 08:10:40,501205028
48311,2023-04-02 08:00:39,501205010,2023-04-02 08:10:35,501205028
48323,2023-04-02 08:01:17,501205010,2023-04-02 08:10:38,501205028
48334,2023-04-02 08:01:48,501205010,2023-04-02 08:10:48,501205028
48339,2023-04-02 08:02:02,501203065,2023-04-02 08:17:20,501204020
48364,2023-04-02 08:03:11,501205026,2023-04-02 08:28:45,501205037
48388,2023-04-02 08:04:37,501204012,2023-04-02 08:06:36,501204003
48410,2023-04-02 08:06:18,501207068,2023-04-02 08:52:59,501204020
48462,2023-04-02 08:08:29,501205034,2023-04-02 08:16:34,501204012
48487,2023-04-02 08:10:07,501209019,2023-04-02 08:42:37,501205003
48493,2023-04-02 08:10:29,501205006,2023-04-02 08:40:28,501205039
48496,2023-04-02 08:10:34,501209019,2023-04-02 08:44:12,501205003
48506,2023-04-02 08:10:56,501204017,2023-04-02 08:24:43,501205021
48510,2023-04-02 08:11:07,501204012,2023-04-02 08:14:37,501204003
48526,2023-04-02 08:11:32,501201019,2023-04-02 08:29:05,501204004
48527,2023-04-02 08:11:34,501204012,2023-04-02 08:32:36,501204012
48528,2023-04-02 08:11:34,501204012,2023-04-02 08:11:49,501204012
48549,2023-04-02 08:12:20,501204012,2023-04-02 08:20:26,501204020
48552,2023-04-02 08:12:25,501205005,2023-04-02 08:22:51,501205005
48594,2023-04-02 08:14:58,501205025,2023-04-02 08:18:22,501205020
48595,2023-04-02 08:14:59,501205025,2023-04-02 08:18:09,501205020
48607,2023-04-02 08:15:30,501204003,2023-04-02 08:24:58,501204003
48624,2023-04-02 08:16:21,501205035,2023-04-02 08:24:15,501205005
48632,2023-04-02 08:16:49,501205035,2023-04-02 08:24:12,501205005
48684,2023-04-02 08:19:52,501205018,2023-04-02 08:26:04,501205010
48761,2023-04-02 08:22:50,501208014,2023-04-02 08:49:02,501205028
48766,2023-04-02 08:22:58,501208063,2023-04-02 08:47:44,501205006
48814,2023-04-02 08:24:40,501205021,2023-04-02 08:27:35,501205025
48831,2023-04-02 08:25:34,501204023,2023-04-02 08:54:01,501204013
48862,2023-04-02 08:26:51,501201025,2023-04-02 08:56:08,501204008
48883,2023-04-02 08:27:44,501201017,2023-04-02 08:34:24,501205015
48892,2023-04-02 08:27:58,501205025,2023-04-02 08:45:12,501204021
48989,2023-04-02 08:32:41,501201013,2023-04-02 08:50:39,501205029
48995,2023-04-02 08:33:02,501205004,2023-04-02 08:46:06,501205004
48996,2023-04-02 08:33:02,501205023,2023-04-02 08:38:55,501205023
49013,2023-04-02 08:33:35,501205005,2023-04-02 08:50:19,501204008
49056,2023-04-02 08:35:32,501204009,2023-04-02 08:45:22,501204009
49069,2023-04-02 08:35:53,501204009,2023-04-02 08:45:21,501204009
49077,2023-04-02 08:36:25,501204009,2023-04-02 08:45:23,501204009
49094,2023-04-02 08:36:52,501209070,2023-04-02 08:47:41,501204015
49098,2023-04-02 08:36:59,501205023,2023-04-02 08:50:30,501205035
49157,2023-04-02 08:39:16,501205036,2023-04-02 08:42:09,501205036
49159,2023-04-02 08:39:19,501205036,2023-04-02 08:42:00,501205036
49174,2023-04-02 08:39:59,501209070,2023-04-02 08:51:42,501204015
49229,2023-04-02 08:42:12,501205003,2023-04-02 08:48:17,501205001
49245,2023-04-02 08:42:48,501204013,2023-04-02 08:56:18,501204021
49246,2023-04-02 08:42:52,501205028,2023-04-02 08:47:16,501205030
49247,2023-04-02 08:42:52,501205028,2023-04-02 08:47:18,501205030
49256,2023-04-02 08:43:11,501205029,2023-04-02 08:45:19,501205028
49272,2023-04-02 08:43:50,501205023,2023-04-02 08:58:40,501204012
49278,2023-04-02 08:44:02,501205023,2023-04-02 08:58:50,501204012
49283,2023-04-02 08:44:14,501202050,2023-04-02 08:50:36,501205009
49299,2023-04-02 08:45:04,501205003,2023-04-02 08:45:11,501205003
49346,2023-04-02 08:46:57,501205030,2023-04-02 08:49:16,501205028
49353,2023-04-02 08:47:13,501205019,2023-04-02 08:50:36,501205028
49354,2023-04-02 08:47:18,501205019,2023-04-02 08:51:16,501205018
49360,2023-04-02 08:47:25,501202085,2023-04-02 08:55:26,501204017
49365,2023-04-02 08:47:37,501204024,2023-04-02 08:55:22,501205007
49367,2023-04-02 08:47:38,501203013,2023-04-02 08:53:56,501205029
49370,2023-04-02 08:47:52,501205010,2023-04-02 08:50:31,501205009
49372,2023-04-02 08:47:55,501208053,2023-04-02 08:55:36,501205037
49420,2023-04-02 08:49:45,501202065,2023-04-02 08:56:38,501205025
49421,2023-04-02 08:49:45,501202065,2023-04-02 08:56:39,501205025
49422,2023-04-02 08:49:52,501202065,2023-04-02 08:56:37,501205025
49448,2023-04-02 08:50:45,501202065,2023-04-02 08:56:33,501205025
49454,2023-04-02 08:50:57,501205026,2023-04-02 08:59:26,501204014
49463,2023-04-02 08:51:17,501205020,2023-04-02 08:59:25,501205018
49578,2023-04-02 08:55:42,501204003,2023-04-02 08:57:14,501204017
90368,2023-04-03 05:44:32,501209068,2023-04-03 06:06:35,501205009
90394,2023-04-03 05:50:04,501208082,2023-04-03 06:02:19,501205001
90423,2023-04-03 05:54:54,501205026,2023-04-03 06:39:22,501205007
90427,2023-04-03 05:56:21,501209034,2023-04-03 06:33:29,501204018
90433,2023-04-03 05:58:00,501201029,2023-04-03 06:06:03,501205029
90471,2023-04-03 06:05:14,501205011,2023-04-03 06:27:57,501204020
90475,2023-04-03 06:05:39,501205011,2023-04-03 06:27:15,501204020
90486,2023-04-03 06:07:37,501204003,2023-04-03 06:13:42,501204008
90501,2023-04-03 06:09:38,501205011,2023-04-03 06:10:33,501205020
90514,2023-04-03 06:11:47,501205020,2023-04-03 06:18:39,501205025
90516,2023-04-03 06:11:52,501203042,2023-04-03 06:49:45,501205031
90519,2023-04-03 06:12:15,501204012,2023-04-03 06:18:17,501204016
90528,2023-04-03 06:12:52,501209024,2023-04-03 06:18:51,501204020
90589,2023-04-03 06:20:23,501205010,2023-04-03 06:30:05,501204022
90611,2023-04-03 06:23:12,501205001,2023-04-03 06:26:36,501205007
90625,2023-04-03 06:24:13,501204003,2023-04-03 06:28:54,501204021
90640,2023-04-03 06:25:37,501201007,2023-04-03 06:32:25,501205023
90651,2023-04-03 06:27:40,501203065,2023-04-03 06:42:42,501204014
90664,2023-04-03 06:29:39,501204020,2023-04-03 06:57:49,501205011
90671,2023-04-03 06:29:57,501204020,2023-04-03 06:57:46,501205011
90683,2023-04-03 06:30:28,501202045,2023-04-03 06:55:33,501204013
90689,2023-04-03 06:31:32,501208018,2023-04-03 07:28:13,501204002
90691,2023-04-03 06:31:48,501209072,2023-04-03 07:46:29,501205034
90700,2023-04-03 06:32:15,501208018,2023-04-03 07:28:08,501204002
90704,2023-04-03 06:32:54,501208018,2023-04-03 07:28:05,501204002
90714,2023-04-03 06:34:14,501209045,2023-04-03 06:44:19,501204009
90739,2023-04-03 06:36:41,501204018,2023-04-03 07:11:52,501204018
90762,2023-04-03 06:37:52,501202034,2023-04-03 06:46:19,501205034
90772,2023-04-03 06:38:57,501205003,2023-04-03 06:46:44,501205013
90777,2023-04-03 06:39:36,501201020,2023-04-03 06:48:43,501205025
90813,2023-04-03 06:45:17,501203024,2023-04-03 07:33:50,501205031
90816,2023-04-03 06:45:27,501209065,2023-04-03 07:01:15,501205012
90819,2023-04-03 06:45:43,501205004,2023-04-03 06:58:10,501205021
90842,2023-04-03 06:48:00,501205031,2023-04-03 06:53:07,501205013
90890,2023-04-03 06:52:04,501205010,2023-04-03 06:55:20,501205009
90923,2023-04-03 06:54:20,501203117,2023-04-03 07:08:19,501205023
90946,2023-04-03 06:55:50,501203005,2023-04-03 07:11:35,501205034
90953,2023-04-03 06:55:59,501209016,2023-04-03 08:43:44,501204020
90959,2023-04-03 06:56:14,501209016,2023-04-03 08:43:37,501204020
90960,2023-04-03 06:56:15,501209016,2023-04-03 08:43:44,501204020
90966,2023-04-03 06:56:54,501201020,2023-04-03 07:06:58,501205003
